40 300
0 5 6
0 6 54
0 7 14
0 8 51
0 9 44
0 10 84
0 11 76
0 12 24
0 13 13
0 14 69
1 5 57
1 6 4
1 7 98
1 8 20
1 9 21
1 10 97
1 11 89
1 12 97
1 13 81
1 14 6
2 5 45
2 6 0
2 7 43
2 8 76
2 9 74
2 10 24
2 11 34
2 12 80
2 13 91
2 14 36
3 5 23
3 6 12
3 7 44
3 8 70
3 9 80
3 10 64
3 11 67
3 12 38
3 13 24
3 14 25
4 5 79
4 6 70
4 7 61
4 8 66
4 9 5
4 10 100
4 11 21
4 12 22
4 13 31
4 14 84
5 15 45
5 16 72
5 17 44
5 18 62
5 19 5
5 20 31
5 21 80
5 22 86
5 23 86
5 24 69
6 15 73
6 16 32
6 17 94
6 18 57
6 19 30
6 20 10
6 21 82
6 22 42
6 23 9
6 24 70
7 15 94
7 16 41
7 17 83
7 18 66
7 19 86
7 20 91
7 21 77
7 22 41
7 23 98
7 24 27
8 15 59
8 16 75
8 17 37
8 18 54
8 19 24
8 20 78
8 21 0
8 22 68
8 23 18
8 24 9
9 15 29
9 16 32
9 17 76
9 18 82
9 19 24
9 20 99
9 21 10
9 22 45
9 23 40
9 24 40
10 15 73
10 16 87
10 17 8
10 18 44
10 19 66
10 20 69
10 21 58
10 22 52
10 23 91
10 24 17
11 15 45
11 16 67
11 17 46
11 18 99
11 19 87
11 20 81
11 21 22
11 22 96
11 23 3
11 24 29
12 15 33
12 16 73
12 17 66
12 18 88
12 19 78
12 20 14
12 21 85
12 22 38
12 23 56
12 24 39
13 15 36
13 16 1
13 17 1
13 18 76
13 19 13
13 20 10
13 21 89
13 22 87
13 23 71
13 24 72
14 15 58
14 16 22
14 17 83
14 18 1
14 19 29
14 20 14
14 21 69
14 22 78
14 23 9
14 24 59
15 25 57
15 26 18
15 27 39
15 28 90
15 29 47
15 30 63
15 31 76
15 32 83
15 33 61
15 34 62
16 25 63
16 26 20
16 27 61
16 28 33
16 29 2
16 30 5
16 31 44
16 32 34
16 33 7
16 34 1
17 25 30
17 26 84
17 27 2
17 28 85
17 29 54
17 30 74
17 31 42
17 32 32
17 33 12
17 34 28
18 25 26
18 26 47
18 27 99
18 28 100
18 29 86
18 30 21
18 31 11
18 32 52
18 33 53
18 34 78
19 25 38
19 26 6
19 27 5
19 28 75
19 29 50
19 30 37
19 31 74
19 32 51
19 33 58
19 34 84
20 25 48
20 26 60
20 27 28
20 28 99
20 29 22
20 30 35
20 31 78
20 32 22
20 33 33
20 34 75
21 25 24
21 26 82
21 27 31
21 28 17
21 29 100
21 30 47
21 31 90
21 32 55
21 33 83
21 34 59
22 25 98
22 26 80
22 27 66
22 28 38
22 29 31
22 30 61
22 31 24
22 32 73
22 33 45
22 34 21
23 25 51
23 26 22
23 27 27
23 28 12
23 29 97
23 30 35
23 31 88
23 32 87
23 33 50
23 34 26
24 25 53
24 26 87
24 27 86
24 28 43
24 29 50
24 30 38
24 31 14
24 32 73
24 33 98
24 34 44
25 35 16
25 36 60
25 37 63
25 38 64
25 39 86
26 35 33
26 36 54
26 37 13
26 38 38
26 39 13
27 35 42
27 36 49
27 37 35
27 38 77
27 39 37
28 35 0
28 36 8
28 37 58
28 38 35
28 39 20
29 35 15
29 36 51
29 37 91
29 38 75
29 39 25
30 35 2
30 36 55
30 37 2
30 38 13
30 39 66
31 35 70
31 36 11
31 37 76
31 38 36
31 39 36
32 35 69
32 36 73
32 37 44
32 38 53
32 39 11
33 35 11
33 36 91
33 37 41
33 38 91
33 39 3
34 35 95
34 36 66
34 37 30
34 38 93
34 39 43
