30 182
0 3 60
0 4 94
0 5 10
0 6 91
0 7 71
0 8 56
0 9 73
1 3 63
1 4 79
1 5 72
1 6 60
1 7 90
1 8 13
1 9 74
2 3 24
2 4 0
2 5 71
2 6 4
2 7 38
2 8 7
2 9 12
3 10 67
3 11 12
3 12 96
3 13 32
3 14 43
3 15 52
3 16 97
3 17 91
3 18 79
3 19 98
4 10 38
4 11 38
4 12 50
4 13 36
4 14 66
4 15 66
4 16 25
4 17 65
4 18 23
4 19 96
5 10 30
5 11 94
5 12 99
5 13 42
5 14 80
5 15 6
5 16 2
5 17 71
5 18 99
5 19 42
6 10 54
6 11 11
6 12 55
6 13 78
6 14 98
6 15 85
6 16 45
6 17 51
6 18 63
6 19 27
7 10 54
7 11 35
7 12 50
7 13 36
7 14 55
7 15 53
7 16 29
7 17 13
7 18 91
7 19 1
8 10 23
8 11 22
8 12 40
8 13 59
8 14 10
8 15 43
8 16 7
8 17 75
8 18 43
8 19 45
9 10 97
9 11 9
9 12 43
9 13 51
9 14 92
9 15 73
9 16 2
9 17 59
9 18 28
9 19 92
10 20 56
10 21 18
10 22 26
10 23 87
10 24 36
10 25 100
10 26 58
11 20 25
11 21 37
11 22 20
11 23 88
11 24 50
11 25 97
11 26 31
12 20 90
12 21 5
12 22 26
12 23 87
12 24 61
12 25 3
12 26 36
13 20 21
13 21 17
13 22 36
13 23 42
13 24 47
13 25 70
13 26 37
14 20 91
14 21 95
14 22 15
14 23 11
14 24 13
14 25 52
14 26 35
15 20 87
15 21 82
15 22 87
15 23 55
15 24 15
15 25 98
15 26 8
16 20 92
16 21 11
16 22 16
16 23 13
16 24 38
16 25 90
16 26 74
17 20 82
17 21 95
17 22 79
17 23 66
17 24 95
17 25 83
17 26 2
18 20 56
18 21 62
18 22 28
18 23 0
18 24 100
18 25 95
18 26 47
19 20 7
19 21 52
19 22 2
19 23 41
19 24 83
19 25 23
19 26 53
20 27 100
20 28 16
20 29 66
21 27 54
21 28 22
21 29 65
22 27 18
22 28 44
22 29 32
23 27 26
23 28 1
23 29 51
24 27 10
24 28 86
24 29 16
25 27 100
25 28 40
25 29 50
26 27 30
26 28 71
26 29 28
