20 72
0 3 16
0 4 87
0 5 22
0 6 29
1 3 86
1 4 84
1 5 52
1 6 50
2 3 81
2 4 71
2 5 47
2 6 53
3 7 44
3 8 54
3 9 5
3 10 58
3 11 52
3 12 87
4 7 58
4 8 55
4 9 11
4 10 49
4 11 81
4 12 48
5 7 16
5 8 87
5 9 25
5 10 42
5 11 5
5 12 32
6 7 53
6 8 64
6 9 25
6 10 94
6 11 26
6 12 45
7 13 74
7 14 28
7 15 53
7 16 39
8 13 65
8 14 87
8 15 98
8 16 3
9 13 69
9 14 78
9 15 60
9 16 12
10 13 26
10 14 20
10 15 12
10 16 8
11 13 9
11 14 52
11 15 86
11 16 100
12 13 55
12 14 44
12 15 15
12 16 98
13 17 65
13 18 33
13 19 38
14 17 14
14 18 39
14 19 19
15 17 100
15 18 0
15 19 72
16 17 30
16 18 87
16 19 88
