60 672
0 8 49
0 9 5
0 10 73
0 11 22
0 12 39
0 13 2
0 14 97
0 15 21
0 16 97
0 17 57
0 18 51
0 19 50
1 8 48
1 9 86
1 10 35
1 11 44
1 12 15
1 13 31
1 14 21
1 15 15
1 16 32
1 17 84
1 18 88
1 19 5
2 8 61
2 9 0
2 10 25
2 11 32
2 12 20
2 13 7
2 14 27
2 15 38
2 16 92
2 17 60
2 18 96
2 19 21
3 8 99
3 9 4
3 10 98
3 11 72
3 12 35
3 13 10
3 14 60
3 15 95
3 16 72
3 17 17
3 18 15
3 19 4
4 8 27
4 9 4
4 10 49
4 11 23
4 12 91
4 13 55
4 14 41
4 15 53
4 16 10
4 17 76
4 18 44
4 19 32
5 8 72
5 9 77
5 10 87
5 11 66
5 12 67
5 13 71
5 14 39
5 15 50
5 16 0
5 17 70
5 18 15
5 19 92
6 8 11
6 9 14
6 10 79
6 11 40
6 12 100
6 13 8
6 14 71
6 15 91
6 16 10
6 17 13
6 18 32
6 19 22
7 8 31
7 9 37
7 10 69
7 11 56
7 12 75
7 13 54
7 14 26
7 15 60
7 16 36
7 17 76
7 18 21
7 19 88
8 20 78
8 21 11
8 22 100
8 23 78
8 24 72
8 25 94
8 26 40
8 27 81
8 28 62
8 29 41
8 30 10
8 31 91
8 32 81
8 33 46
8 34 73
8 35 16
8 36 2
8 37 67
8 38 47
8 39 4
9 20 50
9 21 48
9 22 54
9 23 12
9 24 13
9 25 84
9 26 31
9 27 32
9 28 74
9 29 74
9 30 79
9 31 61
9 32 71
9 33 23
9 34 14
9 35 79
9 36 8
9 37 99
9 38 91
9 39 19
10 20 16
10 21 11
10 22 59
10 23 79
10 24 25
10 25 70
10 26 11
10 27 5
10 28 7
10 29 64
10 30 71
10 31 62
10 32 27
10 33 73
10 34 88
10 35 17
10 36 53
10 37 90
10 38 47
10 39 32
11 20 69
11 21 93
11 22 73
11 23 22
11 24 8
11 25 96
11 26 78
11 27 31
11 28 68
11 29 69
11 30 42
11 31 68
11 32 10
11 33 0
11 34 86
11 35 53
11 36 50
11 37 92
11 38 2
11 39 42
12 20 24
12 21 96
12 22 83
12 23 3
12 24 31
12 25 15
12 26 37
12 27 13
12 28 13
12 29 62
12 30 61
12 31 91
12 32 84
12 33 44
12 34 45
12 35 35
12 36 6
12 37 86
12 38 39
12 39 84
13 20 91
13 21 19
13 22 31
13 23 78
13 24 68
13 25 56
13 26 47
13 27 19
13 28 49
13 29 91
13 30 50
13 31 9
13 32 92
13 33 46
13 34 74
13 35 67
13 36 87
13 37 0
13 38 8
13 39 2
14 20 91
14 21 46
14 22 7
14 23 74
14 24 76
14 25 3
14 26 36
14 27 46
14 28 43
14 29 33
14 30 20
14 31 41
14 32 92
14 33 64
14 34 97
14 35 86
14 36 25
14 37 80
14 38 19
14 39 26
15 20 99
15 21 40
15 22 31
15 23 72
15 24 76
15 25 71
15 26 88
15 27 84
15 28 74
15 29 45
15 30 78
15 31 1
15 32 83
15 33 62
15 34 91
15 35 86
15 36 54
15 37 5
15 38 3
15 39 1
16 20 22
16 21 99
16 22 34
16 23 41
16 24 43
16 25 57
16 26 51
16 27 38
16 28 48
16 29 82
16 30 27
16 31 48
16 32 18
16 33 25
16 34 88
16 35 13
16 36 36
16 37 10
16 38 64
16 39 67
17 20 41
17 21 93
17 22 33
17 23 13
17 24 35
17 25 97
17 26 19
17 27 11
17 28 22
17 29 98
17 30 45
17 31 13
17 32 88
17 33 29
17 34 63
17 35 77
17 36 98
17 37 18
17 38 3
17 39 74
18 20 64
18 21 75
18 22 28
18 23 40
18 24 66
18 25 52
18 26 6
18 27 21
18 28 78
18 29 39
18 30 56
18 31 5
18 32 73
18 33 23
18 34 11
18 35 61
18 36 48
18 37 95
18 38 97
18 39 35
19 20 77
19 21 58
19 22 88
19 23 99
19 24 45
19 25 17
19 26 96
19 27 26
19 28 91
19 29 98
19 30 66
19 31 73
19 32 35
19 33 100
19 34 10
19 35 41
19 36 20
19 37 54
19 38 0
19 39 45
20 40 43
20 41 15
20 42 67
20 43 82
20 44 6
20 45 6
20 46 3
20 47 5
20 48 27
20 49 51
20 50 96
20 51 2
21 40 50
21 41 38
21 42 73
21 43 63
21 44 43
21 45 0
21 46 15
21 47 72
21 48 3
21 49 18
21 50 33
21 51 71
22 40 0
22 41 43
22 42 5
22 43 15
22 44 24
22 45 57
22 46 26
22 47 69
22 48 1
22 49 26
22 50 48
22 51 76
23 40 62
23 41 75
23 42 48
23 43 32
23 44 40
23 45 81
23 46 67
23 47 38
23 48 55
23 49 6
23 50 9
23 51 98
24 40 76
24 41 52
24 42 32
24 43 91
24 44 66
24 45 26
24 46 44
24 47 25
24 48 39
24 49 22
24 50 51
24 51 72
25 40 59
25 41 99
25 42 57
25 43 45
25 44 67
25 45 68
25 46 12
25 47 30
25 48 17
25 49 57
25 50 73
25 51 99
26 40 89
26 41 45
26 42 6
26 43 71
26 44 4
26 45 33
26 46 8
26 47 56
26 48 88
26 49 92
26 50 53
26 51 78
27 40 64
27 41 18
27 42 38
27 43 87
27 44 32
27 45 98
27 46 9
27 47 50
27 48 91
27 49 37
27 50 47
27 51 29
28 40 52
28 41 14
28 42 69
28 43 37
28 44 25
28 45 72
28 46 10
28 47 98
28 48 52
28 49 55
28 50 97
28 51 73
29 40 46
29 41 26
29 42 39
29 43 43
29 44 32
29 45 89
29 46 70
29 47 42
29 48 9
29 49 44
29 50 67
29 51 55
30 40 13
30 41 22
30 42 64
30 43 2
30 44 29
30 45 51
30 46 56
30 47 37
30 48 36
30 49 35
30 50 59
30 51 25
31 40 24
31 41 75
31 42 30
31 43 14
31 44 46
31 45 19
31 46 24
31 47 33
31 48 31
31 49 32
31 50 0
31 51 43
32 40 4
32 41 90
32 42 79
32 43 44
32 44 70
32 45 99
32 46 60
32 47 14
32 48 57
32 49 7
32 50 5
32 51 76
33 40 0
33 41 76
33 42 51
33 43 81
33 44 34
33 45 47
33 46 17
33 47 71
33 48 69
33 49 81
33 50 87
33 51 77
34 40 61
34 41 62
34 42 8
34 43 41
34 44 69
34 45 56
34 46 25
34 47 16
34 48 28
34 49 89
34 50 18
34 51 65
35 40 3
35 41 73
35 42 37
35 43 87
35 44 81
35 45 28
35 46 42
35 47 60
35 48 64
35 49 35
35 50 71
35 51 7
36 40 89
36 41 76
36 42 48
36 43 40
36 44 98
36 45 97
36 46 96
36 47 3
36 48 99
36 49 72
36 50 96
36 51 1
37 40 10
37 41 63
37 42 54
37 43 90
37 44 40
37 45 3
37 46 89
37 47 41
37 48 63
37 49 63
37 50 77
37 51 83
38 40 100
38 41 12
38 42 90
38 43 62
38 44 60
38 45 78
38 46 21
38 47 54
38 48 45
38 49 95
38 50 76
38 51 31
39 40 74
39 41 20
39 42 95
39 43 63
39 44 0
39 45 46
39 46 33
39 47 13
39 48 68
39 49 47
39 50 72
39 51 55
40 52 30
40 53 17
40 54 22
40 55 73
40 56 46
40 57 68
40 58 46
40 59 68
41 52 81
41 53 78
41 54 79
41 55 19
41 56 56
41 57 64
41 58 52
41 59 5
42 52 91
42 53 96
42 54 1
42 55 28
42 56 28
42 57 70
42 58 97
42 59 58
43 52 56
43 53 36
43 54 69
43 55 45
43 56 18
43 57 97
43 58 100
43 59 79
44 52 9
44 53 59
44 54 84
44 55 25
44 56 67
44 57 6
44 58 3
44 59 77
45 52 69
45 53 80
45 54 89
45 55 27
45 56 87
45 57 65
45 58 80
45 59 90
46 52 39
46 53 92
46 54 52
46 55 45
46 56 8
46 57 13
46 58 75
46 59 53
47 52 92
47 53 22
47 54 18
47 55 81
47 56 24
47 57 9
47 58 51
47 59 74
48 52 57
48 53 23
48 54 28
48 55 59
48 56 38
48 57 79
48 58 45
48 59 37
49 52 67
49 53 88
49 54 63
49 55 63
49 56 88
49 57 31
49 58 9
49 59 92
50 52 67
50 53 16
50 54 6
50 55 12
50 56 89
50 57 45
50 58 12
50 59 18
51 52 38
51 53 97
51 54 12
51 55 13
51 56 53
51 57 72
51 58 15
51 59 87
