50 357
0 8 75
0 9 50
0 10 74
0 12 83
0 13 59
0 17 71
0 19 21
1 8 16
1 9 81
1 12 15
1 14 3
1 17 8
2 8 63
2 9 68
2 11 20
2 12 89
2 14 2
2 15 36
2 16 79
2 19 82
3 8 18
3 9 50
3 10 28
3 11 47
3 12 4
3 13 0
3 14 96
3 15 54
3 17 32
3 19 41
4 8 21
4 12 12
4 13 62
4 14 5
4 15 68
4 16 95
4 17 1
4 18 88
5 8 100
5 9 14
5 10 86
5 12 53
5 14 90
5 15 75
5 16 62
5 17 21
5 19 7
6 8 7
6 9 10
6 10 0
6 12 4
6 13 64
6 15 54
6 16 95
6 17 20
6 18 98
7 8 87
7 9 21
7 10 1
7 11 17
7 12 61
7 13 6
7 14 57
7 15 16
7 16 90
7 18 35
7 19 74
8 20 77
8 21 44
8 23 12
8 24 10
8 25 34
8 26 56
8 27 18
8 28 85
8 29 38
8 30 37
8 31 33
8 34 93
9 20 93
9 22 88
9 23 55
9 24 83
9 25 72
9 28 30
9 29 39
9 30 43
9 31 64
9 32 50
9 33 52
10 22 75
10 24 2
10 25 42
10 27 85
10 28 44
10 29 0
10 31 29
10 32 35
10 33 12
10 34 63
11 21 89
11 23 66
11 26 39
11 27 78
11 28 33
11 29 12
11 30 54
11 31 76
11 32 98
11 34 33
12 20 73
12 21 67
12 22 9
12 23 73
12 26 20
12 27 92
12 28 32
12 29 7
12 30 37
12 31 9
12 33 84
13 20 38
13 22 95
13 23 25
13 24 9
13 25 28
13 26 58
13 28 43
13 29 45
13 30 69
13 31 26
13 32 40
13 34 51
14 21 38
14 22 27
14 24 15
14 25 30
14 26 74
14 27 93
14 28 48
14 29 69
14 30 72
14 31 26
14 32 82
14 33 94
14 34 15
15 22 91
15 23 85
15 25 8
15 27 15
15 28 26
15 29 59
15 30 5
15 31 54
15 34 20
16 21 22
16 22 12
16 23 16
16 24 4
16 25 22
16 26 3
16 27 81
16 28 80
16 29 82
16 30 8
16 33 3
16 34 57
17 20 20
17 21 82
17 22 67
17 23 2
17 24 18
17 26 12
17 28 44
17 29 32
17 30 47
17 31 57
17 32 69
17 33 98
17 34 100
18 20 46
18 21 91
18 22 19
18 23 66
18 24 76
18 25 37
18 26 20
18 27 49
18 28 46
18 29 63
18 30 55
18 31 98
19 20 5
19 21 59
19 22 43
19 23 34
19 25 63
19 26 60
19 27 72
19 28 0
19 29 52
19 34 46
20 35 57
20 36 12
20 38 95
20 40 21
20 41 47
20 42 56
20 44 65
21 35 6
21 36 29
21 37 20
21 38 92
21 39 8
21 40 3
21 41 11
21 42 97
21 43 51
22 36 91
22 37 18
22 39 74
22 41 100
22 42 2
22 44 85
23 35 7
23 36 16
23 37 79
23 38 65
23 39 93
23 40 86
23 41 89
23 42 68
23 43 29
23 44 40
24 35 23
24 37 24
24 38 86
24 39 83
24 40 43
24 42 68
24 44 93
25 35 67
25 36 97
25 38 86
25 40 1
25 41 39
25 42 93
25 44 80
26 35 72
26 37 73
26 38 93
26 39 68
26 40 56
26 41 21
26 43 16
26 44 96
27 37 4
27 38 82
27 39 69
27 40 64
27 42 86
27 43 19
27 44 17
28 35 50
28 36 1
28 37 37
28 38 66
28 40 23
28 41 5
28 42 45
28 43 97
28 44 79
29 37 29
29 38 56
29 39 67
29 40 58
29 41 91
29 42 70
29 43 86
29 44 26
30 35 81
30 36 76
30 39 92
30 40 100
30 41 98
30 42 13
30 43 24
30 44 46
31 35 86
31 36 85
31 37 28
31 38 67
31 39 49
31 40 85
31 41 60
31 42 85
31 43 44
32 35 51
32 36 96
32 37 29
32 39 61
32 42 99
32 43 51
32 44 16
33 35 7
33 36 4
33 37 36
33 38 80
33 39 27
33 40 29
33 42 23
33 43 6
34 35 83
34 36 40
34 38 72
34 40 100
34 41 80
34 42 75
34 43 59
35 46 20
35 47 75
35 48 70
35 49 81
36 46 79
36 47 98
36 48 58
36 49 94
37 47 92
37 49 87
38 45 4
38 46 57
38 47 24
38 48 70
38 49 20
39 45 6
39 47 77
39 48 51
39 49 70
40 46 24
40 47 11
40 49 96
41 45 38
41 46 97
41 48 9
41 49 24
42 47 12
42 48 4
42 49 17
43 45 61
43 46 79
43 47 4
43 48 48
44 45 51
44 46 87
44 47 14
44 48 79
44 49 97
